(5, 4, k) (5, 2, k) (2, 2, k) (1, 1, k)
(2, 1, k) (2, 2, k) (1, 1, k) (1, 2, k)
(2, 4, k) (2, 2, k) (1, 1, k) (4, 4, k)
(2, 2, k) (1, 1, k) (2, 5, k) (2, 0, k)
(3, 5, k) (2, 2, k) (1, 1, k) (4, 0, v)
(0, 0, k) (2, 2, k) (1, 1, k) (4, 5, v)
(2, 2, k) (1, 1, k) (0, 4, v) (4, 0, v)
(2, 2, k) (1, 1, k) (5, 0, k) (5, 1, k)
(2, 2, k) (1, 1, k) (2, 5, k) (4, 0, k)
(2, 2, k) (1, 1, k) (4, 5, k) (1, 5, k)
(1, 3, k) (4, 4, v) (2, 2, k) (1, 1, k)
(2, 1, k) (2, 2, k) (1, 1, k) (2, 5, v)
(5, 1, v) (2, 2, k) (1, 1, k) (1, 3, k)
(1, 2, k) (2, 2, k) (1, 1, k) (0, 2, k)
(2, 2, k) (1, 1, k) (0, 4, k) (1, 5, k)
(1, 5, v) (2, 2, k) (1, 1, k) (5, 5, k)
(3, 3, v) (2, 2, k) (1, 1, k) (4, 0, k)
(2, 2, k) (3, 1, k) (1, 1, k) (5, 4, k)
(1, 3, k) (2, 2, k) (1, 1, k) (5, 3, v)
(4, 4, v) (2, 2, k) (1, 1, k) (4, 0, k)
(4, 4, v) (2, 2, k) (1, 1, k) (5, 3, v)
(5, 5, v) (2, 2, k) (1, 1, k) (2, 5, v)
(2, 2, k) (1, 1, k) (4, 2, k) (1, 2, k)
(4, 4, k) (2, 2, k) (1, 1, k) (0, 5, v)
(5, 4, k) (2, 2, k) (1, 1, k) (2, 5, v)
(2, 1, k) (2, 2, k) (1, 1, k) (4, 5, k)
(3, 3, k) (2, 2, k) (1, 1, k) (0, 4, k)
(2, 1, k) (3, 1, k) (1, 1, k) (2, 2, k)
(1, 3, k) (2, 4, k) (2, 2, k) (1, 1, k)
(2, 2, k) (1, 1, k) (4, 2, k) (4, 5, v)
(2, 1, k) (2, 2, k) (1, 1, k) (0, 4, k)
(2, 2, k) (1, 1, k) (5, 0, k) (1, 5, v)
(4, 4, v) (0, 5, k) (2, 2, k) (1, 1, k)
(3, 3, k) (4, 4, k) (2, 2, k) (1, 1, k)
(5, 4, k) (0, 0, k) (2, 2, k) (1, 1, k)
(2, 5, k) (2, 2, k) (1, 1, k) (5, 3, v)
(4, 4, v) (3, 3, v) (2, 2, k) (1, 1, k)
(0, 5, v) (2, 2, k) (1, 1, k) (4, 5, v)
(4, 4, v) (2, 2, k) (1, 1, k) (5, 1, k)
(2, 2, k) (1, 1, k) (4, 2, k) (0, 2, k)
(5, 1, v) (4, 4, k) (2, 2, k) (1, 1, k)
(2, 1, k) (2, 2, k) (1, 1, k) (5, 0, v)
(1, 3, k) (5, 2, v) (2, 2, k) (1, 1, k)
(1, 5, v) (2, 2, k) (1, 1, k) (5, 0, v)
(3, 3, k) (2, 2, k) (1, 1, k) (3, 5, k)
(0, 0, k) (2, 2, k) (1, 1, k) (4, 0, v)
(0, 5, k) (2, 2, k) (1, 1, k) (2, 0, k)
(5, 2, k) (2, 2, k) (1, 1, k) (0, 4, v)
(1, 5, v) (2, 2, k) (1, 1, k) (0, 2, k)
(3, 1, k) (0, 0, v) (1, 1, k) (2, 2, k)
(2, 2, k) (1, 1, k) (5, 0, v) (4, 5, k)
(2, 2, k) (1, 1, k) (5, 5, k) (5, 1, k)
(2, 2, k) (1, 1, k) (5, 0, v) (2, 5, v)
(2, 2, k) (1, 1, k) (5, 0, k) (3, 3, k)
(5, 1, v) (2, 2, k) (1, 1, k) (1, 5, k)
(5, 5, v) (5, 2, v) (2, 2, k) (1, 1, k)
(1, 3, k) (2, 2, k) (1, 1, k) (1, 2, k)
(5, 3, k) (2, 2, k) (1, 1, k) (5, 0, v)
(2, 2, k) (1, 1, k) (5, 0, k) (4, 5, v)
(2, 2, k) (3, 1, k) (1, 1, k) (4, 0, v)
(2, 2, k) (0, 5, v) (1, 1, k) (5, 0, k)
(2, 2, k) (5, 2, k) (0, 0, v) (1, 1, k)
(1, 5, k) (2, 2, k) (1, 1, k) (4, 0, k)
(5, 2, v) (2, 2, k) (1, 1, k) (4, 5, v)
(2, 2, k) (1, 1, k) (2, 5, k) (4, 5, k)
(5, 2, k) (0, 0, k) (2, 2, k) (1, 1, k)
(2, 1, k) (4, 4, v) (2, 2, k) (1, 1, k)
(1, 3, k) (5, 5, v) (2, 2, k) (1, 1, k)
(2, 1, k) (2, 2, k) (1, 1, k) (5, 3, v)
(5, 5, v) (2, 2, k) (1, 1, k) (4, 0, v)
(0, 5, v) (2, 2, k) (1, 1, k) (5, 5, k)
(5, 4, v) (2, 2, k) (1, 1, k) (2, 5, k)
(2, 2, k) (1, 1, k) (4, 5, k) (5, 1, k)
(5, 4, k) (2, 2, k) (1, 1, k) (4, 0, k)
(5, 3, k) (2, 2, k) (1, 1, k) (2, 0, k)
(3, 3, k) (4, 4, v) (2, 2, k) (1, 1, k)
(3, 3, v) (2, 2, k) (1, 1, k) (4, 2, k)
(5, 1, v) (5, 4, v) (2, 2, k) (1, 1, k)
(5, 4, v) (2, 4, k) (2, 2, k) (1, 1, k)
(0, 0, k) (2, 2, k) (1, 1, k) (3, 5, k)
(2, 1, k) (2, 4, k) (2, 2, k) (1, 1, k)
(2, 2, k) (3, 1, k) (1, 1, k) (1, 3, k)
(4, 4, v) (2, 2, k) (1, 1, k) (0, 2, k)
(0, 5, v) (2, 2, k) (1, 1, k) (2, 0, k)
(1, 2, k) (2, 2, k) (1, 1, k) (4, 0, v)
(5, 1, v) (2, 2, k) (1, 1, k) (5, 4, k)
(4, 4, k) (2, 2, k) (1, 1, k) (4, 0, k)
(2, 4, k) (2, 2, k) (1, 1, k) (4, 2, k)
(5, 5, v) (2, 2, k) (1, 1, k) (5, 1, k)
(5, 3, k) (2, 2, k) (1, 1, k) (1, 2, k)
(5, 2, k) (2, 2, k) (1, 1, k) (0, 5, k)
(2, 2, k) (1, 1, k) (0, 4, v) (2, 0, k)
(2, 1, k) (5, 2, v) (2, 2, k) (1, 1, k)
(1, 3, k) (2, 2, k) (1, 1, k) (5, 0, v)
(5, 1, v) (2, 2, k) (1, 1, k) (3, 3, k)
(1, 3, k) (0, 0, k) (2, 2, k) (1, 1, k)
(2, 2, k) (3, 1, k) (1, 1, k) (3, 5, k)
(2, 2, k) (1, 1, k) (0, 2, k) (4, 0, v)
(4, 4, k) (2, 2, k) (1, 1, k) (0, 4, v)
(4, 4, k) (2, 2, k) (1, 1, k) (3, 5, k)
(2, 2, k) (3, 1, k) (1, 1, k) (0, 4, v)
(4, 4, v) (0, 5, v) (2, 2, k) (1, 1, k)
(2, 2, k) (1, 1, k) (5, 0, k) (5, 3, v)
(3, 5, v) (2, 2, k) (1, 1, k) (5, 1, k)
(5, 4, k) (4, 4, k) (2, 2, k) (1, 1, k)
(5, 2, k) (2, 2, k) (1, 1, k) (1, 5, k)
(2, 2, k) (1, 1, k) (2, 0, k) (5, 1, k)
(3, 5, v) (5, 4, v) (2, 2, k) (1, 1, k)
(1, 5, v) (2, 2, k) (1, 1, k) (4, 5, k)
(5, 4, v) (2, 2, k) (1, 1, k) (2, 0, k)
(4, 4, k) (2, 2, k) (1, 1, k) (0, 4, k)
(0, 0, k) (2, 2, k) (1, 1, k) (1, 5, k)
(5, 3, k) (2, 2, k) (1, 1, k) (2, 5, k)
(0, 5, v) (2, 2, k) (1, 1, k) (4, 5, k)
(1, 5, v) (5, 2, k) (2, 2, k) (1, 1, k)
(2, 2, k) (1, 1, k) (5, 3, v) (3, 5, k)
(5, 1, v) (2, 2, k) (1, 1, k) (5, 5, k)
(2, 2, k) (1, 1, k) (5, 3, v) (0, 4, v)
(1, 5, v) (2, 2, k) (1, 1, k) (1, 2, k)
(2, 2, k) (1, 1, k) (4, 2, k) (4, 5, k)
(1, 3, k) (5, 2, k) (2, 2, k) (1, 1, k)
(0, 5, k) (2, 2, k) (1, 1, k) (5, 0, v)
(4, 4, v) (2, 2, k) (1, 1, k) (1, 5, v)
(3, 3, k) (2, 2, k) (1, 1, k) (1, 5, k)
(2, 1, k) (5, 5, v) (2, 2, k) (1, 1, k)
(2, 2, k) (3, 1, k) (1, 1, k) (1, 5, k)
(1, 5, v) (5, 5, v) (2, 2, k) (1, 1, k)
(1, 5, v) (3, 3, v) (2, 2, k) (1, 1, k)
(5, 2, v) (2, 2, k) (1, 1, k) (0, 5, v)
(2, 2, k) (1, 1, k) (4, 5, k) (0, 2, k)
(2, 2, k) (1, 1, k) (5, 0, v) (4, 5, v)
(5, 1, v) (2, 2, k) (1, 1, k) (4, 0, v)
(2, 2, k) (3, 1, k) (1, 1, k) (2, 5, v)
(5, 4, k) (2, 2, k) (1, 1, k) (4, 5, k)
(4, 4, v) (2, 2, k) (1, 1, k) (4, 0, v)
(3, 3, v) (2, 2, k) (1, 1, k) (4, 0, v)
(0, 0, k) (2, 2, k) (1, 1, k) (4, 4, k)
(2, 2, k) (1, 1, k) (5, 0, v) (2, 0, k)
(1, 3, k) (2, 2, k) (1, 1, k) (0, 4, v)
(5, 4, v) (2, 2, k) (1, 1, k) (0, 2, k)
(2, 2, k) (5, 5, v) (3, 1, k) (1, 1, k)
(5, 5, v) (2, 2, k) (1, 1, k) (4, 2, k)
(0, 5, k) (2, 2, k) (1, 1, k) (5, 3, v)
(2, 2, k) (1, 1, k) (5, 0, k) (3, 5, v)
(0, 5, k) (2, 2, k) (1, 1, k) (2, 5, k)
(5, 5, k) (2, 2, k) (1, 1, k) (5, 0, v)
(1, 5, v) (2, 2, k) (1, 1, k) (2, 0, k)
(2, 2, k) (1, 1, k) (4, 5, k) (1, 2, k)
(5, 4, k) (2, 2, k) (1, 1, k) (0, 2, k)
(0, 4, k) (2, 2, k) (1, 1, k) (4, 2, k)
(5, 5, v) (2, 2, k) (1, 1, k) (0, 2, k)
(5, 1, v) (0, 5, k) (2, 2, k) (1, 1, k)
(1, 5, k) (2, 2, k) (1, 1, k) (0, 2, k)
(2, 2, k) (5, 2, v) (0, 0, v) (1, 1, k)
(5, 4, v) (2, 2, k) (1, 1, k) (1, 2, k)
(2, 2, k) (1, 1, k) (5, 0, k) (1, 3, k)
(2, 2, k) (1, 1, k) (2, 5, v) (0, 2, k)
(2, 2, k) (1, 1, k) (4, 5, v) (1, 2, k)
(5, 1, v) (2, 2, k) (1, 1, k) (4, 0, k)
(2, 4, k) (2, 2, k) (1, 1, k) (5, 3, v)
(2, 2, k) (0, 0, v) (1, 1, k) (0, 4, k)
(2, 4, k) (2, 2, k) (1, 1, k) (2, 5, k)
(3, 5, v) (2, 2, k) (1, 1, k) (0, 2, k)
(5, 3, k) (2, 2, k) (1, 1, k) (0, 5, v)
(5, 1, v) (2, 2, k) (1, 1, k) (2, 0, k)
(5, 5, v) (2, 2, k) (1, 1, k) (1, 2, k)
(2, 2, k) (1, 1, k) (4, 2, k) (2, 5, v)
(5, 1, v) (0, 5, v) (2, 2, k) (1, 1, k)
(2, 2, k) (0, 0, v) (1, 1, k) (4, 5, k)
(2, 2, k) (2, 4, k) (0, 0, v) (1, 1, k)
(5, 3, k) (2, 2, k) (1, 1, k) (4, 2, k)
(0, 0, k) (2, 2, k) (1, 1, k) (4, 5, k)
(0, 0, k) (2, 2, k) (1, 1, k) (2, 4, k)
(0, 0, k) (2, 2, k) (1, 1, k) (4, 0, k)
(2, 2, k) (1, 1, k) (5, 0, k) (1, 5, k)
(2, 1, k) (2, 2, k) (1, 1, k) (5, 5, k)
(5, 2, k) (2, 2, k) (1, 1, k) (4, 5, k)
(4, 5, v) (2, 2, k) (1, 1, k) (2, 0, k)
(0, 0, k) (2, 2, k) (1, 1, k) (2, 5, v)
(2, 2, k) (0, 0, v) (1, 1, k) (0, 4, v)
(2, 2, k) (0, 0, v) (1, 1, k) (2, 5, v)
(1, 5, v) (2, 2, k) (1, 1, k) (4, 2, k)
(2, 2, k) (1, 1, k) (4, 5, k) (4, 0, v)
(3, 3, v) (0, 0, k) (2, 2, k) (1, 1, k)
(2, 2, k) (4, 4, v) (0, 0, v) (1, 1, k)
(2, 2, k) (5, 5, v) (0, 0, v) (1, 1, k)
(2, 1, k) (5, 2, k) (2, 2, k) (1, 1, k)
(4, 4, v) (0, 0, k) (2, 2, k) (1, 1, k)
(2, 2, k) (3, 3, v) (0, 0, v) (1, 1, k)
(1, 3, k) (5, 4, v) (2, 2, k) (1, 1, k)
(2, 2, k) (1, 1, k) (5, 5, k) (0, 4, v)
(0, 5, v) (2, 2, k) (1, 1, k) (5, 0, v)
